# Residuals            
# Time                 	Ux                     	Uy                     	Uz                     	T                      	rho                    	p                      
0                      	N/A                    	N/A                    	N/A                    	N/A                    	N/A                    	N/A                    
1e-07                  	1.000000000000000e+00	1.000000000000000e+00	9.999999989601240e-01	N/A                    	0.000000000000000e+00	N/A                    
2e-07                  	1.858495931214506e-01	9.994126707150133e-01	9.994178624935915e-01	N/A                    	0.000000000000000e+00	N/A                    
3e-07                  	9.680465243879498e-02	3.577903637155722e-01	3.214136359594030e-01	N/A                    	0.000000000000000e+00	N/A                    
4e-07                  	6.702659973971084e-02	2.213944015021290e-01	1.879383290391376e-01	N/A                    	0.000000000000000e+00	N/A                    
5e-07                  	5.232896680489729e-02	1.622092685809798e-01	1.338648426904645e-01	N/A                    	0.000000000000000e+00	N/A                    
6e-07                  	4.344619223738142e-02	1.275277345906012e-01	1.049171650474149e-01	N/A                    	0.000000000000000e+00	N/A                    
7e-07                  	3.758278683177450e-02	1.047465068760924e-01	8.875414789175060e-02	N/A                    	0.000000000000000e+00	N/A                    
8e-07                  	3.344726642170819e-02	8.843457898885648e-02	7.887704307457902e-02	N/A                    	0.000000000000000e+00	N/A                    
9e-07                  	3.038533278073063e-02	7.595627934823672e-02	7.394796866770653e-02	N/A                    	0.000000000000000e+00	N/A                    
1e-06                  	2.805620590455345e-02	6.628424103906357e-02	7.040069632882544e-02	N/A                    	0.000000000000000e+00	N/A                    
1.1e-06                	2.626086994019126e-02	5.850497243994807e-02	7.042813702813790e-02	N/A                    	0.000000000000000e+00	N/A                    
1.2e-06                	2.488104773038331e-02	5.153254538513658e-02	7.084526763196788e-02	N/A                    	0.000000000000000e+00	N/A                    
1.3e-06                	2.389557145151025e-02	4.589240845926432e-02	7.561945423047367e-02	N/A                    	0.000000000000000e+00	N/A                    
